respondent_id,age,gender,location,primary_concern,carbon_shipping_in_top3,willingness_to_pay_premium,current_monthly_spend_usd,buys_sustainable_skincare_now,top_feature_requested,verbatim_comment
R001,30,Female,Seattle WA,Ingredient transparency,No,0% (list price only),40,Rarely,Refillable packaging,"Every brand says natural. I want proof, not a logo."
R002,33,Male,Brooklyn NY,Ingredient transparency,No,0% (list price only),55,Rarely,QR code to ingredient sourcing,"Every brand says natural. I want proof, not a logo."
R003,29,Male,Seattle WA,Ingredient transparency,Yes,10-15%,30,Sometimes,QR code to ingredient sourcing,Greenwashing is exhausting. Transparency would earn my trust and my money.
R004,33,Female,Portland OR,Ingredient transparency,Yes,20%+,70,Sometimes,QR code to ingredient sourcing,I never know if 'clean' actually means anything. Show me where each ingredient comes from.
R005,26,Female,Brooklyn NY,Ingredient transparency,No,10-15%,55,Often,QR code to ingredient sourcing,Greenwashing is exhausting. Transparency would earn my trust and my money.
R006,32,Female,San Diego CA,Carbon-neutral shipping,No,10-15%,25,Rarely,QR code to ingredient sourcing,Carbon-neutral shipping is nice but honestly I assume everyone does it now.
R007,31,Female,San Diego CA,Ingredient transparency,No,20%+,45,Rarely,QR code to ingredient sourcing,Greenwashing is exhausting. Transparency would earn my trust and my money.
R008,29,Male,Nashville TN,Ingredient transparency,No,20%+,60,Sometimes,Refillable packaging,"Every brand says natural. I want proof, not a logo."
R009,28,Female,Seattle WA,Ingredient transparency,No,10-15%,25,Sometimes,Refillable packaging,I read every label and still can't tell who's honest.
R010,33,Female,Chicago IL,Ingredient transparency,No,20%+,25,Sometimes,QR code to ingredient sourcing,I never know if 'clean' actually means anything. Show me where each ingredient comes from.
R011,34,Male,Nashville TN,Ingredient transparency,No,10-15%,70,Sometimes,Refillable packaging,"Every brand says natural. I want proof, not a logo."
R012,25,Non-binary,Austin TX,Ingredient transparency,Yes,20%+,35,Rarely,QR code to ingredient sourcing,I never know if 'clean' actually means anything. Show me where each ingredient comes from.
R013,34,Female,Seattle WA,Ingredient transparency,No,10-15%,55,Often,Fragrance-free options,I never know if 'clean' actually means anything. Show me where each ingredient comes from.
R014,34,Female,Boston MA,Ingredient transparency,No,10-15%,25,Sometimes,Fragrance-free options,I read every label and still can't tell who's honest.
R015,26,Male,Boston MA,Packaging waste,No,10-15%,70,Sometimes,Fragrance-free options,I'd pay more if I could refill instead of rebuy.
